Zeit t / min;Spannung U_A1 / V;Spannung U_B1 / V;Spannungsquelle S_1
0;0,2715;0,1245;1
0,0333333333333333;0,2685;0,126;1
0,0666666666666667;0,297;0,1245;1
0,0999833333333333;0,3345;0,1245;1
0,133333333333333;0,369;0,1275;1
0,16665;0,4035;0,1305;1
0,200016666666667;0,4365;0,1305;1
0,233333333333333;0,4695;0,132;1
0,266666666666667;0,501;0,1335;1
0,3;0,531;0,138;1
0,333333333333333;0,561;0,138;1
0,366666666666667;0,5895;0,1395;1
0,399983333333333;0,615;0,141;1
0,433333333333333;0,6435;0,141;1
0,46665;0,672;0,1425;1
0,5;0,699;0,141;1
0,533316666666667;0,726;0,1425;1
0,566666666666667;0,753;0,141;1
0,599983333333333;0,7785;0,1395;1
0,633333333333333;0,8055;0,1395;1
0,66665;0,8295;0,1365;1
0,7;0,8565;0,132;1
0,733333333333333;0,879;0,1305;1
0,766666666666667;0,9045;0,1275;1
0,800016666666667;0,9285;0,123;1
0,833316666666667;0,9525;0,12;1
0,86665;0,975;0,114;1
0,899983333333333;0,999;0,1095;1
0,933333333333333;1,023;0,1065;1
0,966666666666667;1,0455;0,1005;1
1;1,068;0,096;1
1,03331666666667;1,092;0,0915;1
1,06665;1,1145;0,0885;1
1,09998333333333;1,137;0,0855;1
1,13333333333333;1,1565;0,081;1
1,16666666666667;1,179;0,078;1
1,19998333333333;1,2015;0,072;1
1,23333333333333;1,221;0,0675;1
1,26668333333333;1,2435;0,0675;1
1,29998333333333;1,263;0,063;1
1,33333333333333;1,284;0,0615;1
1,36665;1,3065;0,0585;1
1,4;1,326;0,054;1
1,43331666666667;1,344;0,0525;1
1,46668333333333;1,3665;0,0525;1
1,5;1,3845;0,048;1
1,53331666666667;1,4055;0,0465;1
1,56666666666667;1,4235;0,045;1
1,6;1,443;0,0435;1
1,63331666666667;1,461;0,042;1
1,66666666666667;1,4775;0,039;1
1,7;1,4955;0,0375;1
1,73335;1,5105;0,036;1
1,76666666666667;1,5285;0,036;1
1,79998333333333;1,545;0,036;1
1,83335;1,5585;0,033;1
1,86665;1,5765;0,033;1
1,9;1,59;0,0315;1
1,93335;1,6065;0,03;1
1,96666666666667;1,6215;0,03;1
1,99998333333333;1,6275;0,027;1
2,03333333333333;1,614;0,027;1
2,06666666666667;1,599;0,027;1
2,1;1,581;0,0285;1
2,13341666666667;1,566;0,0315;1
